id;activity_name
1;although
2;or amidst mysteriously
3;duh
4;deselect
5;youthfully cheerfully inasmuch
6;shady memorise
7;till owlishly
8;through
9;prejudge along mmm
10;sonata after so
11;modulo
12;yowza dapper
13;above heartbeat likewise
14;until whistle
15;heating rusty
16;pfft
17;woot planula
18;bah prance given
19;whereas
20;pretend casement minus
21;expatiate warp
22;apropos cautiously nucleotidase
23;tinderbox
24;joyous editor carefully
25;fooey yin bright
26;unwritten
27;on urgently unique
28;scale as behind
29;naturally within
30;boastfully
