id;celeb_name
1;lively cardboard
2;because
3;portly meh
4;longboat inventory
5;sick
6;fatally er
7;versus ack until
8;the weary
9;times
10;whoa pfft total
11;bashfully slowly truthfully
12;quizzically
13;object
14;briefly eek
15;valuable whether provided
16;other airbus geez
17;trek indeed
18;rally industrialize
19;inquisitively
20;punctuation violent ack
21;at tinted
22;ha boohoo along
23;parsnip
24;among
25;pushy given for
26;information
27;equal
28;against
29;at fiercely frantically
30;since
