id;celeb_name
1;bitter
2;sandy list astride
3;neglect
4;ew
5;off gripping wearily
6;amongst vainly mmm
7;for
8;boohoo
9;authorized sleepily parody
10;and about
11;wafer how above
12;oof chiffonier utterly
13;um gosh down
14;anti granular
15;once
16;dreary cop-out reassuringly
17;inside cuckoo and
18;cop-out
19;bah
20;incidentally solemnly
21;while yet poppy
22;until illiterate
23;waist
24;as calculus
25;wealthy youthfully release
26;overconfidently loyalty if
27;circa next aside
28;compete
29;before
30;beloved
