id;creation_date;notification_date;notification_reason;notification_text;is_delivered;appuser_id
1;2026-03-30T13:15:50;2026-03-30T21:20:10;FOLLOWER_STATUS;bob powerfully unfinished;true;1
2;2026-03-31T01:13:19;2026-03-30T12:37:03;FOLLOWING;minus;false;2
3;2026-03-30T14:28:45;2026-03-30T12:27:56;FOLLOWING;gah;false;1
4;2026-03-30T18:46:20;2026-03-30T08:06:29;AUTHORIZE_COMMUNITY_FOLLOWER;greedy genuine;true;2
5;2026-03-31T04:14:44;2026-03-30T19:24:55;AUTHORIZE_COMMUNITY_FOLLOWER;nicely equate;false;2
6;2026-03-30T17:10:04;2026-03-31T01:50:38;PROPOSAL_RELEASED;institute sternly;false;2
7;2026-03-31T04:36:51;2026-03-30T22:40:16;PROPOSAL_RELEASED;cluttered ack masquerade;true;1
8;2026-03-30T23:36:50;2026-03-31T05:29:00;AUTHORIZE_COMMUNITY_FOLLOWER;after;false;2
9;2026-03-30T14:59:48;2026-03-30T09:30:49;UNAUTHORIZE_COMMUNITY_FOLLOWER;colour;true;1
10;2026-03-30T17:40:09;2026-03-31T06:29:30;PROPOSAL_RELEASED;unless boo;false;1
11;2026-03-30T16:07:15;2026-03-30T18:25:18;UNAUTHORIZE_COMMUNITY_FOLLOWER;median anti;false;1
12;2026-03-30T20:12:00;2026-03-31T02:00:13;UNAUTHORIZE_COMMUNITY_FOLLOWER;vivid;false;1
13;2026-03-31T05:05:30;2026-03-30T11:32:06;AUTHORIZE_COMMUNITY_FOLLOWER;fuss than frivolous;true;2
14;2026-03-30T20:56:47;2026-03-30T10:28:07;PROPOSAL_RELEASED;hyphenation boring brilliant;true;1
15;2026-03-30T09:28:30;2026-03-30T13:09:57;UNAUTHORIZE_COMMUNITY_FOLLOWER;since other devil;false;1
16;2026-03-31T01:59:56;2026-03-30T08:39:20;UNAUTHORIZE_COMMUNITY_FOLLOWER;reference respray though;true;2
17;2026-03-30T17:48:46;2026-03-31T03:58:27;FOLLOWER_STATUS;times;false;2
18;2026-03-31T01:42:40;2026-03-30T21:26:38;UNFOLLOWING;and gee;true;1
19;2026-03-30T19:40:27;2026-03-31T01:55:17;UNFOLLOWING;when meaningfully;true;2
20;2026-03-31T01:48:01;2026-03-31T07:40:25;AUTHORIZE_COMMUNITY_FOLLOWER;who;true;2
21;2026-03-31T06:33:14;2026-03-30T08:03:04;UNAUTHORIZE_COMMUNITY_FOLLOWER;actually;false;2
22;2026-03-30T17:20:31;2026-03-31T03:52:25;PROPOSAL_RELEASED;quart psst illustrious;true;2
23;2026-03-30T08:25:07;2026-03-31T02:58:59;FOLLOWER_STATUS;failing knowledgeably squid;false;2
24;2026-03-30T19:06:24;2026-03-31T02:02:09;UNFOLLOWING;perky soupy;false;2
25;2026-03-30T13:43:23;2026-03-30T10:58:04;AUTHORIZE_COMMUNITY_FOLLOWER;repurpose bulky;true;1
26;2026-03-30T18:17:26;2026-03-30T14:01:50;AUTHORIZE_COMMUNITY_FOLLOWER;proper;false;2
27;2026-03-31T04:34:50;2026-03-31T00:32:31;FOLLOWER_STATUS;experience;false;2
28;2026-03-31T04:57:44;2026-03-31T04:57:26;UNFOLLOWING;along harmful with;true;2
29;2026-03-30T13:28:12;2026-03-30T20:12:04;UNFOLLOWING;potentially;true;1
30;2026-03-31T06:38:43;2026-03-31T05:52:55;UNFOLLOWING;likable abaft er;true;1
