id;tag_name
1;following baritone
2;intrigue a honored
3;why economise
4;ugh
5;considering nectarine
6;annually musty um
7;an
8;deflate following ouch
9;beneath ouch character
10;inasmuch tremendously snowplow
11;dish for seafood
12;about deny broken
13;accentuate instead
14;past
15;likewise amidst
16;easy wonderfully
17;fellow helplessly
18;witty
19;throughout except
20;and
21;for pantyhose bitter
22;untrue secret
23;turret reprove since
24;before corny
25;armoire
26;why
27;cauliflower oval
28;negligible within inside
29;ah
30;vista
