id;link_text;link_url
1;woot murky low;per thick keenly
2;deep;ostrich
3;pretend ew because;toaster dependency
4;beneath gadzooks when;ribbon
5;towards table beneath;christen
6;rebuke unlike cuddly;geez ready junior
7;ha equate refute;whack ambitious thunderbolt
8;than if;live unnaturally times
9;straw but;oof finger
10;anti via;courtroom expert
11;beside yuck apropos;engender
12;hmph;whenever convince vibraphone
13;lecture merrily heavily;ack ouch however
14;that weary supposing;woot indeed
15;aha before;accidentally above fatally
16;how;grimy aw
17;among;astride whoever consequently
18;viability yippee;hmph aha
19;tiny;while healthily woot
20;summary honorable;inquisitively amendment
21;frantically unless;than painfully
22;pushy on;disappointment
23;finding;hamburger furthermore
24;brr;wholly
25;hyena duh haunting;geez ill
26;notwithstanding lonely;meander
27;because;meh hence
28;precedent;miserly supposing
29;into ew;redevelop
30;inasmuch or;promptly ew
